age,job,marital,education,balance,housing,loan,month,campaign,deposit
37.0,blue-collar,married,secondary,125,no,no,may,2,yes
28.0,self-employed,single,tertiary,0,yes,no,may,2,yes
32.0,admin.,single,secondary,620,yes,no,may,3,yes
37.0,blue-collar,divorced,secondary,316,yes,no,may,2,yes
34.0,management,married,tertiary,2287,yes,no,may,4,yes
38.0,admin.,divorced,secondary,198,yes,no,may,2,yes
28.0,admin.,single,secondary,460,yes,no,may,6,yes
31.0,management,divorced,tertiary,1145,yes,no,may,4,yes
59.0,services,married,secondary,-22,yes,no,may,3,yes
24.0,blue-collar,married,secondary,685,yes,no,may,3,yes
26.0,services,single,secondary,901,yes,no,may,2,yes
59.0,retired,single,secondary,351,yes,no,may,5,yes
30.0,entrepreneur,single,primary,0,yes,yes,may,1,yes
37.0,admin.,married,secondary,274,yes,no,may,3,yes
30.0,admin.,single,secondary,-213,yes,yes,may,1,yes
25.0,blue-collar,married,secondary,97,yes,no,may,1,yes
44.0,services,divorced,secondary,51,yes,yes,may,2,yes
29.0,management,married,tertiary,314,no,no,may,2,yes
26.0,management,single,tertiary,4087,yes,no,may,2,yes
26.0,technician,single,secondary,668,yes,no,may,3,yes
27.0,services,single,secondary,54,yes,no,may,2,yes
25.0,self-employed,single,secondary,1242,yes,no,may,2,yes
28.0,management,married,secondary,292,yes,no,may,1,yes
23.0,services,single,secondary,665,yes,no,may,1,yes
34.0,management,single,tertiary,1058,yes,no,may,2,yes
28.0,student,single,secondary,949,yes,no,may,1,yes
51.0,entrepreneur,married,unknown,606,yes,no,may,6,yes
35.0,blue-collar,married,secondary,0,yes,yes,may,1,yes
35.0,admin.,married,secondary,404,yes,no,may,1,yes
56.0,blue-collar,married,secondary,249,yes,no,may,2,yes
45.0,unemployed,divorced,secondary,3354,yes,no,may,1,yes
60.0,blue-collar,divorced,secondary,0,yes,no,may,1,yes
56.0,technician,married,secondary,589,yes,no,may,2,yes
27.0,management,single,tertiary,4087,yes,no,may,3,yes
30.0,admin.,married,secondary,873,yes,no,may,3,yes
45.0,blue-collar,divorced,primary,594,yes,no,may,2,yes
29.0,blue-collar,single,secondary,-20,yes,no,may,2,yes
38.0,management,divorced,tertiary,4087,yes,no,may,2,yes
30.0,blue-collar,married,secondary,486,yes,no,may,3,yes
44.0,blue-collar,single,primary,1593,yes,no,may,3,yes
36.0,management,single,tertiary,4087,yes,no,may,1,yes
38.0,technician,married,secondary,226,yes,no,may,3,yes
36.0,blue-collar,single,secondary,366,yes,yes,may,2,yes
37.0,management,divorced,secondary,16,yes,no,may,1,yes
35.0,management,single,tertiary,565,yes,no,may,1,yes
38.0,admin.,divorced,secondary,19,yes,no,may,2,yes
40.0,services,married,primary,1082,yes,no,may,2,yes
42.0,unemployed,divorced,secondary,1713,yes,no,may,2,yes
46.0,management,divorced,tertiary,4087,yes,no,may,1,yes
35.0,technician,divorced,secondary,4087,yes,no,may,6,yes
34.0,technician,divorced,secondary,1451,yes,no,may,6,yes
32.0,services,married,secondary,-34,yes,no,may,2,yes
50.0,unemployed,married,secondary,3674,yes,no,may,3,yes
35.0,blue-collar,married,secondary,698,yes,yes,may,3,yes
36.0,technician,single,secondary,4087,yes,no,may,3,yes
53.0,blue-collar,divorced,primary,2656,yes,no,may,2,yes
46.0,management,single,tertiary,2904,yes,no,may,2,yes
26.0,management,single,tertiary,1004,yes,no,may,2,yes
45.0,technician,single,secondary,410,yes,no,may,4,yes
31.0,unemployed,divorced,primary,0,yes,no,may,6,yes
29.0,management,single,tertiary,0,yes,no,may,6,yes
53.0,entrepreneur,single,secondary,62,yes,no,may,5,yes
27.0,blue-collar,married,primary,416,yes,no,may,2,yes
39.0,management,married,tertiary,2763,yes,no,jun,2,yes
36.0,services,married,secondary,2984,yes,no,jun,1,yes
41.0,blue-collar,married,primary,143,yes,yes,jun,2,yes
36.0,services,married,primary,0,yes,no,jun,1,yes
32.0,technician,married,secondary,696,yes,no,jun,1,yes
35.0,services,married,secondary,152,yes,no,jun,1,yes
36.0,management,single,tertiary,-78,yes,no,jun,1,yes
35.0,management,married,tertiary,867,yes,no,jun,3,yes
30.0,blue-collar,single,secondary,953,yes,no,jun,2,yes
42.0,blue-collar,married,secondary,443,yes,no,jun,5,yes
42.0,technician,single,secondary,-1129,yes,no,jun,5,yes
32.0,blue-collar,married,primary,415,yes,no,jun,4,yes
29.0,blue-collar,single,secondary,260,yes,no,jun,6,yes
44.0,management,divorced,tertiary,-411,yes,no,jun,4,yes
32.0,technician,single,secondary,1279,yes,no,jun,3,yes
31.0,unemployed,married,secondary,86,yes,yes,jun,2,yes
40.0,self-employed,married,secondary,-754,yes,yes,jun,3,yes
43.0,entrepreneur,married,secondary,0,no,no,jun,6,yes
27.0,management,single,secondary,178,yes,no,jun,2,yes
37.0,services,single,secondary,278,yes,no,jun,3,yes
23.0,services,single,secondary,425,yes,no,jun,1,yes
25.0,management,married,primary,168,yes,no,jun,1,yes
26.0,blue-collar,single,secondary,-36,yes,no,jun,2,yes
47.0,blue-collar,divorced,primary,126,yes,no,jun,2,yes
35.0,admin.,married,secondary,-87,yes,no,jun,6,yes
32.0,technician,single,tertiary,4087,yes,no,jun,4,yes
45.0,management,divorced,secondary,644,yes,no,jun,1,yes
30.0,admin.,divorced,secondary,377,yes,no,jun,6,yes
29.0,services,single,secondary,-271,yes,no,jun,1,yes
38.0,blue-collar,married,primary,4087,yes,no,jun,2,yes
23.0,blue-collar,single,secondary,492,yes,no,jun,1,yes
27.0,management,single,tertiary,99,yes,no,jun,2,yes
27.0,management,single,tertiary,-713,yes,no,jun,2,yes
29.0,services,single,secondary,32,yes,no,jun,1,yes
30.0,self-employed,married,tertiary,543,yes,yes,jun,6,yes
36.0,blue-collar,married,primary,403,yes,no,jun,1,yes
35.0,admin.,divorced,secondary,437,yes,no,jun,1,yes
36.0,blue-collar,married,secondary,1772,no,no,jun,1,yes
59.0,retired,divorced,primary,-88,yes,no,jun,2,yes
47.0,entrepreneur,married,secondary,0,no,no,jun,1,yes
58.0,entrepreneur,married,tertiary,853,no,no,jun,2,yes
37.0,management,single,tertiary,240,no,no,jun,1,yes
46.0,admin.,single,secondary,849,yes,no,jun,2,yes
43.0,blue-collar,single,secondary,318,yes,no,jun,2,yes
27.0,management,single,tertiary,703,yes,no,jun,3,yes
38.0,services,divorced,secondary,61,no,no,jun,1,yes
53.0,housemaid,married,primary,104,no,yes,jun,1,yes
47.0,blue-collar,married,secondary,1996,no,no,jun,2,yes
56.0,housemaid,divorced,primary,1238,no,no,jun,1,yes
41.0,housemaid,married,secondary,879,no,no,jun,2,yes
29.0,self-employed,married,secondary,425,yes,no,jun,6,yes
50.0,technician,married,secondary,416,yes,no,jun,5,yes
45.0,blue-collar,divorced,primary,844,no,no,jun,3,yes
35.0,blue-collar,married,secondary,860,yes,no,jun,4,yes
26.0,technician,single,secondary,639,yes,no,jun,5,yes
26.0,admin.,married,secondary,710,yes,yes,jun,2,yes
37.0,blue-collar,married,unknown,1508,no,yes,jun,2,yes
30.0,admin.,single,secondary,223,yes,no,jun,6,yes
38.0,management,single,tertiary,619,yes,no,jun,4,yes
37.0,services,divorced,secondary,319,yes,no,jun,3,yes
53.0,technician,married,secondary,480,no,no,jun,2,yes
29.0,blue-collar,single,primary,213,yes,no,jun,3,yes
35.0,management,single,tertiary,68,no,no,jun,1,yes
28.0,blue-collar,married,secondary,2788,yes,no,jun,2,yes
55.0,blue-collar,married,unknown,4087,no,no,jun,3,yes
49.0,management,divorced,secondary,-46,yes,no,jun,6,yes
50.0,services,married,secondary,1595,no,no,jun,1,yes
43.0,management,single,tertiary,1046,no,no,jun,1,yes
58.0,self-employed,divorced,tertiary,1382,no,no,jun,1,yes
38.0,technician,married,primary,217,yes,no,jun,6,yes
48.0,blue-collar,divorced,primary,183,no,no,jun,1,yes
59.0,management,married,secondary,1321,no,no,jun,3,yes
58.0,blue-collar,married,secondary,25,no,no,jun,3,yes
36.0,self-employed,single,tertiary,4087,no,no,jun,3,yes
42.0,entrepreneur,married,tertiary,4087,no,no,jun,3,yes
41.0,admin.,single,secondary,812,no,yes,jun,4,yes
42.0,admin.,married,secondary,105,no,no,jun,4,yes
39.0,management,married,tertiary,-190,no,yes,jun,6,yes
57.0,housemaid,married,primary,625,no,yes,jun,1,yes
52.0,retired,married,unknown,293,no,no,jun,1,yes
59.0,retired,married,unknown,1033,no,no,jun,1,yes
56.0,blue-collar,married,secondary,1210,no,no,jun,1,yes
49.0,management,married,tertiary,64,no,no,jun,1,yes
35.0,blue-collar,divorced,unknown,164,no,no,jun,2,yes
36.0,unemployed,married,secondary,1766,no,no,jun,2,yes
40.0,admin.,single,tertiary,1248,no,no,jun,2,yes
55.0,blue-collar,married,secondary,0,no,no,jun,2,yes
58.0,admin.,married,secondary,826,no,no,jun,1,yes
39.0,self-employed,married,tertiary,2630,no,no,jun,5,yes
47.0,housemaid,single,tertiary,3727,no,no,jun,6,yes
40.0,management,married,secondary,406,yes,no,jun,2,yes
35.0,blue-collar,married,tertiary,2999,no,no,jun,6,yes
48.0,blue-collar,married,secondary,1000,yes,no,jun,2,yes
48.0,management,divorced,tertiary,503,no,yes,jun,6,yes
24.0,blue-collar,single,secondary,-203,yes,no,jun,3,yes
49.0,blue-collar,married,primary,361,yes,no,jun,2,yes
36.0,blue-collar,married,secondary,274,yes,no,jun,6,yes
52.0,retired,divorced,tertiary,3687,yes,yes,jun,4,yes
42.0,entrepreneur,single,unknown,323,no,no,jun,1,yes
36.0,services,married,secondary,981,no,no,jun,1,yes
36.0,blue-collar,divorced,secondary,638,yes,no,jun,2,yes
48.0,unemployed,single,tertiary,3229,no,no,jun,1,yes
51.0,management,single,secondary,1610,yes,no,jun,3,yes
51.0,blue-collar,married,secondary,33,no,yes,jun,3,yes
46.0,technician,married,secondary,536,yes,no,jun,2,yes
37.0,management,married,tertiary,0,no,no,jun,6,yes
36.0,entrepreneur,married,tertiary,3057,no,no,jun,4,yes
47.0,management,married,secondary,2892,no,no,jun,1,yes
40.0,technician,divorced,tertiary,0,no,no,jun,1,yes
38.0,student,single,tertiary,3316,no,no,jun,3,yes
40.0,management,married,secondary,106,no,no,jun,2,yes
39.0,blue-collar,married,primary,2303,yes,no,jun,3,yes
60.0,management,married,tertiary,3301,no,no,jun,3,yes
39.0,self-employed,single,tertiary,426,no,no,jun,1,yes
51.0,services,divorced,secondary,9,no,no,jun,2,yes
27.0,admin.,married,secondary,-97,yes,no,jun,2,yes
41.0,management,single,tertiary,4087,no,no,jun,1,yes
42.0,blue-collar,single,primary,4087,no,no,jun,1,yes
41.0,entrepreneur,married,secondary,707,no,no,jun,1,yes
33.0,technician,married,secondary,4,yes,yes,jun,2,yes
46.0,admin.,married,secondary,126,no,no,jun,1,yes
31.0,blue-collar,married,secondary,671,yes,no,jun,4,yes
41.0,blue-collar,married,primary,219,no,yes,jun,3,yes
41.0,blue-collar,divorced,secondary,3622,no,no,jun,4,yes
55.0,retired,divorced,secondary,1580,no,yes,jun,1,yes
53.0,technician,married,secondary,1319,no,no,jun,3,yes
55.0,housemaid,married,primary,2152,no,no,jun,2,yes
39.0,services,married,secondary,2843,yes,no,jun,1,yes
40.0,entrepreneur,married,tertiary,0,no,no,jun,4,yes
59.0,retired,married,primary,1115,no,no,jun,1,yes
42.0,blue-collar,single,secondary,625,no,no,jun,3,yes
41.0,blue-collar,married,primary,246,no,no,jun,3,yes
27.0,blue-collar,married,secondary,61,yes,no,jun,1,yes
25.0,blue-collar,single,secondary,-191,yes,no,jun,6,yes
43.0,unemployed,married,primary,519,no,no,jun,2,yes
44.0,services,married,secondary,522,no,yes,jun,1,yes
26.0,blue-collar,single,secondary,-46,yes,no,jun,6,yes
52.0,retired,married,tertiary,2269,no,no,jun,1,yes
54.0,services,married,unknown,386,no,yes,jun,1,yes
56.0,management,married,tertiary,0,no,yes,jun,1,yes
57.0,management,married,tertiary,4087,no,yes,jun,2,yes
29.0,blue-collar,single,secondary,908,yes,no,jun,1,yes
47.0,technician,married,tertiary,1694,no,yes,jun,3,yes
57.0,management,married,tertiary,-92,yes,yes,jun,1,yes
40.0,blue-collar,married,secondary,188,yes,yes,jun,2,yes
46.0,services,divorced,secondary,0,no,no,jun,3,yes
43.0,blue-collar,single,secondary,740,yes,no,jun,2,yes
45.0,management,married,tertiary,655,no,no,jun,3,yes
24.0,management,married,secondary,867,yes,no,jun,6,yes
40.0,blue-collar,married,secondary,1009,yes,yes,jun,5,yes
38.0,services,divorced,unknown,4087,no,no,jun,2,yes
36.0,unemployed,married,tertiary,4087,no,no,jun,4,yes
27.0,blue-collar,single,secondary,-27,no,no,jun,2,yes
26.0,admin.,single,primary,-122,yes,no,jun,3,yes
43.0,management,married,tertiary,149,yes,no,jun,2,yes
25.0,blue-collar,single,primary,52,yes,no,jun,2,yes
27.0,blue-collar,married,tertiary,335,yes,no,jun,3,yes
30.0,technician,married,tertiary,526,yes,yes,jun,3,yes
28.0,admin.,single,secondary,-7,no,yes,jun,2,yes
27.0,blue-collar,married,primary,-413,no,yes,jun,6,yes
32.0,admin.,divorced,secondary,-241,no,yes,jun,2,yes
41.0,blue-collar,single,secondary,75,yes,no,jul,6,yes
37.0,technician,single,tertiary,0,no,no,jul,2,yes
27.0,technician,single,secondary,158,no,no,jul,2,yes
29.0,services,single,secondary,84,no,yes,jul,3,yes
33.0,services,married,secondary,114,no,yes,jul,1,yes
36.0,technician,married,primary,0,no,no,jul,1,yes
28.0,blue-collar,single,secondary,-127,yes,no,jul,3,yes
55.0,blue-collar,married,secondary,49,yes,no,jul,4,yes
51.0,technician,married,secondary,216,no,no,jul,2,yes
39.0,technician,single,secondary,506,yes,no,jul,2,yes
42.0,blue-collar,divorced,primary,213,yes,no,jul,3,yes
33.0,services,single,secondary,170,no,no,jul,1,yes
36.0,entrepreneur,divorced,tertiary,776,no,yes,jul,3,yes
45.0,technician,married,secondary,879,no,no,jul,2,yes
37.0,self-employed,married,secondary,1633,no,no,jul,2,yes
46.0,unemployed,married,secondary,926,no,no,jul,5,yes
32.0,self-employed,single,tertiary,2559,no,no,jul,1,yes
28.0,technician,single,secondary,909,no,yes,jul,1,yes
45.0,admin.,divorced,secondary,-176,no,yes,jul,1,yes
41.0,blue-collar,single,secondary,1085,yes,yes,jul,1,yes
59.0,blue-collar,divorced,primary,1265,no,yes,jul,1,yes
47.0,technician,single,secondary,-239,yes,yes,jul,3,yes
31.0,blue-collar,single,secondary,726,no,no,jul,2,yes
31.0,management,single,tertiary,296,no,yes,jul,4,yes
33.0,entrepreneur,married,secondary,-627,yes,yes,jul,1,yes
52.0,entrepreneur,married,tertiary,-468,no,no,jul,1,yes
26.0,self-employed,single,secondary,551,no,no,jul,1,yes
25.0,technician,single,secondary,0,no,yes,jul,1,yes
25.0,blue-collar,married,secondary,101,no,yes,jul,3,yes
28.0,blue-collar,single,secondary,517,no,yes,jul,1,yes
33.0,entrepreneur,divorced,tertiary,37,no,yes,jul,1,yes
45.0,management,divorced,tertiary,854,no,yes,jul,1,yes
36.0,services,married,secondary,30,no,yes,jul,5,yes
26.0,blue-collar,single,secondary,81,no,yes,jul,2,yes
38.0,technician,married,secondary,0,no,no,jul,1,yes
56.0,blue-collar,single,secondary,663,no,yes,jul,3,yes
26.0,admin.,single,secondary,102,no,yes,jul,2,yes
26.0,technician,married,secondary,370,no,yes,jul,4,yes
25.0,blue-collar,single,secondary,189,no,yes,jul,2,yes
26.0,unemployed,single,secondary,111,no,no,jul,1,yes
40.0,blue-collar,married,primary,665,yes,no,jul,1,yes
37.0,admin.,married,primary,214,yes,no,jul,1,yes
43.0,blue-collar,single,primary,0,no,no,jul,1,yes
41.0,services,divorced,tertiary,1583,yes,no,jul,1,yes
49.0,blue-collar,married,secondary,0,no,yes,jul,1,yes
29.0,admin.,divorced,tertiary,0,no,yes,jul,3,yes
39.0,services,divorced,secondary,687,yes,no,jul,1,yes
38.0,management,married,tertiary,327,yes,yes,jul,5,yes
26.0,technician,married,secondary,-119,no,yes,jul,5,yes
32.0,management,married,tertiary,794,yes,yes,jul,1,yes
33.0,blue-collar,married,primary,-191,yes,yes,jul,4,yes
31.0,management,single,tertiary,409,no,yes,jul,5,yes
49.0,blue-collar,married,primary,3,no,yes,jul,6,yes
27.0,unemployed,single,primary,9,no,yes,jul,2,yes
30.0,blue-collar,single,secondary,155,yes,yes,jul,3,yes
35.0,blue-collar,married,secondary,1330,no,no,jul,1,yes
26.0,blue-collar,single,secondary,-29,yes,no,jul,4,yes
45.0,entrepreneur,married,unknown,3133,yes,yes,jul,1,yes
34.0,admin.,married,secondary,-33,yes,yes,jul,1,yes
28.0,admin.,single,secondary,-170,no,yes,jul,2,yes
25.0,blue-collar,single,secondary,1243,no,yes,jul,6,yes
30.0,blue-collar,single,secondary,1598,yes,no,jul,1,yes
30.0,services,married,secondary,5,no,yes,jul,5,yes
47.0,services,married,secondary,367,yes,no,jul,4,yes
57.0,admin.,divorced,secondary,658,no,no,jul,1,yes
38.0,management,married,tertiary,1722,yes,no,jul,1,yes
54.0,technician,married,secondary,-315,no,yes,jul,1,yes
25.0,blue-collar,single,primary,2483,no,no,jul,3,yes
30.0,blue-collar,married,secondary,0,yes,yes,jul,1,yes
26.0,management,single,tertiary,45,no,no,jul,3,yes
31.0,student,married,primary,46,yes,no,jul,1,yes
29.0,blue-collar,single,secondary,482,no,yes,jul,3,yes
49.0,blue-collar,married,secondary,3728,yes,no,jul,2,yes
60.0,retired,divorced,secondary,1099,no,no,jul,2,yes
60.0,management,married,tertiary,2222,yes,no,jul,2,yes
29.0,management,single,tertiary,983,yes,no,jul,2,yes
55.0,management,divorced,secondary,204,yes,no,jul,2,yes
44.0,admin.,married,secondary,1074,yes,no,jul,2,yes
47.0,technician,married,secondary,3466,yes,no,jul,2,yes
35.0,admin.,married,secondary,-203,yes,no,jul,2,yes
35.0,entrepreneur,married,secondary,2436,no,yes,jul,3,yes
38.0,technician,married,secondary,976,yes,no,jul,3,yes
34.0,entrepreneur,married,tertiary,146,yes,no,jul,2,yes
50.0,technician,married,secondary,156,no,yes,jul,3,yes
43.0,admin.,married,tertiary,189,yes,no,jul,4,yes
44.0,admin.,divorced,secondary,163,yes,no,jul,2,yes
51.0,services,divorced,secondary,242,no,yes,jul,4,yes
31.0,technician,married,secondary,1173,yes,no,jul,3,yes
39.0,technician,married,tertiary,0,yes,no,jul,6,yes
59.0,management,married,tertiary,296,no,yes,jul,3,yes
25.0,services,single,secondary,333,no,yes,jul,2,yes
58.0,management,married,tertiary,3864,yes,no,jul,4,yes
30.0,entrepreneur,married,primary,2686,yes,no,jul,3,yes
34.0,blue-collar,single,primary,-109,yes,no,jul,4,yes
51.0,services,divorced,secondary,65,no,yes,jul,1,yes
60.0,retired,married,secondary,597,no,no,jul,1,yes
51.0,entrepreneur,married,secondary,-799,no,yes,jul,3,yes
37.0,management,divorced,tertiary,1775,no,no,jul,5,yes
30.0,blue-collar,single,primary,0,no,no,jul,3,yes
46.0,entrepreneur,divorced,secondary,-563,no,yes,jul,4,yes
29.0,student,single,tertiary,5,no,no,jul,5,yes
27.0,entrepreneur,married,tertiary,139,no,no,jul,5,yes
28.0,management,single,tertiary,0,yes,no,jul,5,yes
34.0,blue-collar,single,secondary,855,yes,no,jul,1,yes
29.0,blue-collar,single,unknown,694,yes,yes,jul,4,yes
27.0,management,single,tertiary,151,yes,no,jul,1,yes
26.0,technician,single,secondary,354,no,no,jul,1,yes
36.0,management,married,tertiary,673,yes,no,jul,1,yes
44.0,blue-collar,married,primary,1265,yes,no,jul,1,yes
39.0,blue-collar,married,tertiary,597,no,no,jul,6,yes
30.0,technician,married,secondary,-393,yes,yes,jul,1,yes
31.0,unemployed,divorced,tertiary,256,yes,no,jul,2,yes
56.0,blue-collar,married,primary,0,yes,no,jul,1,yes
